Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Developer,Rating
2.0,2012.0,5.0,283.0,0.2,0.26,0.3,0.04,0.8,79.0,69.0,99.0,843.0,7.0
29.0,2006.0,0.0,491.0,0.11,0.03,0.0,0.01,0.15,51.0,29.0,9.0,87.0,5.0
28.0,2013.0,10.0,139.0,0.21,0.12,0.0,0.03,0.35,77.0,28.0,26.0,453.0,1.0
17.0,2007.0,6.0,491.0,0.18,0.04,0.01,0.03,0.25,71.0,10.0,5.0,773.0,7.0
2.0,2012.0,0.0,230.0,0.0,0.0,0.02,0.0,0.02,50.4,14.2,14.8,739.8,1.2
4.0,2007.0,9.0,277.0,0.0,0.0,0.1,0.0,0.1,67.4,24.0,25.6,811.8,2.2
19.0,2011.0,1.0,233.0,0.0,0.0,0.02,0.0,0.02,68.2,26.6,28.4,900.6,6.2
17.0,2013.0,0.0,277.0,0.03,0.41,0.51,0.0,0.95,78.0,39.0,303.0,815.0,1.0
29.0,2004.0,0.0,21.0,0.16,0.05,0.0,0.01,0.21,70.0,55.0,6.0,781.0,5.0
14.0,1996.0,7.0,347.0,0.0,0.0,0.03,0.0,0.03,70.6,16.6,100.8,900.4,4.4
26.0,2009.0,10.0,23.0,1.58,0.0,0.0,0.12,1.69,53.6,9.8,4.0,47.0,7.0
16.0,2007.0,1.0,78.0,0.0,0.0,0.02,0.0,0.02,47.6,18.8,43.6,896.4,2.8
16.0,2000.0,8.0,482.0,0.03,0.03,0.0,0.01,0.07,72.0,12.0,4.0,1512.0,7.0
20.0,2011.0,2.0,383.0,0.03,0.05,0.02,0.02,0.11,83.0,28.0,97.0,92.0,7.0
4.0,2007.0,5.0,504.0,0.11,0.0,0.0,0.01,0.12,77.6,28.2,46.6,1693.0,1.0
16.0,2003.0,6.0,548.0,0.74,1.01,0.0,0.2,1.95,69.0,24.0,59.0,1591.0,1.0
16.0,2002.0,11.0,138.0,0.09,0.07,0.0,0.02,0.18,67.0,19.0,11.0,1155.0,7.0
26.0,2010.0,0.0,552.0,0.69,0.42,0.0,0.12,1.24,76.0,8.0,13.0,1511.0,2.0
18.0,2015.0,7.0,121.0,0.08,0.0,0.02,0.02,0.11,44.0,15.0,114.6,577.0,4.2
28.0,2009.0,6.0,91.0,0.32,0.39,0.0,0.09,0.8,87.0,65.0,110.0,305.0,7.0
10.0,1999.0,6.0,512.0,0.06,0.13,0.0,0.01,0.2,63.0,16.0,72.2,1192.0,2.2
28.0,2010.0,0.0,497.0,3.7,1.95,0.09,0.58,6.32,95.0,96.0,2316.0,1221.0,5.0
4.0,2008.0,7.0,364.0,0.05,0.0,0.0,0.0,0.05,67.0,24.0,12.0,1029.0,1.0
4.0,2009.0,11.0,298.0,0.15,0.0,0.0,0.01,0.16,68.0,12.6,19.8,248.0,1.0
16.0,2002.0,0.0,458.0,0.22,0.18,0.0,0.06,0.46,80.0,37.0,29.0,1246.0,5.0
28.0,2014.0,0.0,121.0,0.03,0.04,0.0,0.01,0.07,32.0,12.0,74.0,526.0,5.0
15.0,1994.0,10.0,458.0,0.11,0.08,0.17,0.03,0.38,81.4,16.6,80.8,906.8,3.6
16.0,2004.0,9.0,460.0,0.88,0.34,0.32,0.18,1.71,84.0,57.0,81.0,978.0,7.0
16.0,2010.0,10.0,277.0,0.0,0.0,0.1,0.0,0.1,66.8,15.4,18.0,811.6,1.2
28.0,2015.0,1.0,505.0,0.02,0.0,0.0,0.0,0.02,64.0,22.4,10.0,1469.0,5.4
4.0,2008.0,5.0,569.0,0.01,0.0,0.0,0.0,0.01,37.0,4.0,11.2,1012.0,1.0
29.0,2005.0,8.0,21.0,1.22,0.39,0.0,0.06,1.67,83.0,40.0,106.0,1085.0,7.0
15.0,1999.0,3.0,145.0,0.04,0.03,0.18,0.02,0.26,66.0,8.0,35.0,925.0,1.0
17.0,2014.0,7.0,503.0,0.05,0.03,0.06,0.02,0.16,67.0,23.0,49.0,635.0,7.0
15.0,1997.0,10.0,139.0,0.59,0.4,0.0,0.07,1.07,87.4,19.2,86.2,562.4,2.4
26.0,2010.0,3.0,528.0,0.25,0.65,0.0,0.12,1.02,48.0,6.0,4.0,857.0,2.0
2.0,2011.0,6.0,91.0,0.07,0.08,0.0,0.02,0.16,59.0,15.0,13.0,305.0,1.0
6.0,2004.0,0.0,491.0,1.15,0.77,0.04,0.1,2.06,55.0,13.0,9.2,658.0,1.0
29.0,2005.0,0.0,277.0,0.03,0.01,0.0,0.0,0.04,56.0,13.0,66.0,815.0,2.0
29.0,2005.0,10.0,139.0,0.73,0.21,0.0,0.03,0.97,87.0,38.0,27.0,449.0,1.0
6.0,2004.0,0.0,361.0,0.89,0.22,0.22,0.1,1.42,89.0,56.0,203.0,534.0,1.0
2.0,2013.0,8.0,21.0,0.0,0.06,0.0,0.0,0.06,59.2,9.6,12.6,172.0,2.0
26.0,2009.0,0.0,123.0,0.13,0.04,0.0,0.02,0.19,63.2,16.8,40.4,392.0,1.0
4.0,2007.0,5.0,138.0,0.0,0.01,0.0,0.0,0.02,70.0,21.0,11.0,98.0,1.0
28.0,2007.0,5.0,349.0,0.14,0.02,0.15,0.02,0.32,73.0,52.0,40.0,1042.0,1.0
19.0,2004.0,10.0,458.0,0.5,0.5,0.63,0.33,1.96,81.0,57.0,34.0,296.0,2.0
30.0,2016.0,10.0,139.0,0.24,0.14,0.0,0.04,0.41,76.0,42.0,77.0,449.0,7.0
21.0,1997.0,5.0,97.0,0.0,0.0,0.6,0.0,0.6,68.8,16.4,79.2,930.0,4.4
16.0,2006.0,10.0,349.0,0.0,0.0,0.08,0.0,0.08,51.2,32.0,27.6,823.8,6.0
